address,id,image,latitude,longitude,name,numberOfReviews,phone,Ranking,rating,rawRanking
"23-1 Sangmuminju-ro, Gwangju South Korea",9106644,https://media-cdn.tripadvisor.com/media/photo-o/18/13/73/07/20190626-133143-023-largejpg.jpg,35.174465,126.81401,Dayeon Dakgalbi Sangmu,9,+82 62-953-3236,14.0,5.0,3.12041974067688
"45, Baekseo-ro 125beon-gil, Dong-gu, Gwangju 61488 South Korea",8385343,https://media-cdn.tripadvisor.com/media/photo-o/09/74/a6/51/tequilaz-r.jpg,35.145535,126.91681,Tequilaz R.,10,+82 10-5459-2436,16.0,4.5,3.11533284187317
"252, Cheongseok-Ro, Gwangju, Gyeonggi-do South Korea",9066904,https://media-cdn.tripadvisor.com/media/photo-o/11/67/29/ae/caption.jpg,37.409714,127.265175,Gluttonous Korean Beef,3,+82 31-768-9234,16.0,4.5,3.04979395866394
"841, Hoejae-ro, Seo-gu, Gwangju 62070 South Korea",8535648,https://media-cdn.tripadvisor.com/media/photo-o/0a/f1/be/81/caption.jpg,35.1193,126.85789,Kimkangsim Kalguksu,17,+82 62-682-0801,17.0,4.0,3.11499571800232
"97-6, Sangmusimin-Ro, Gwangju South Korea",9272775,https://media-cdn.tripadvisor.com/media/photo-o/0a/29/7a/0e/img-20160128-132228-largejpg.jpg,35.1557,126.8503,Seoul Kkakdugi,9,+82 62-385-2123,20.0,4.0,3.11071109771729
"745-8 Namhansanseong-ro, Namhansanseong-myeon, Gwangju, Gyeonggi-do South Korea",27122590,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/31/3a/15/caption.jpg,37.47756,127.1869,Sanseongson Tofu,1,,20.0,5.0,3.04391074180603
"15, Uncheon-ro31beon-Gil, Gwangju South Korea",9204102,https://media-cdn.tripadvisor.com/media/photo-o/0c/ae/8b/18/caption.jpg,35.135326,126.857414,Yu Jinjeong,8,+82 62-372-5289,22.0,4.5,3.10811924934387
"146, Munhyeongsan-gil, Opo-eup, Gwangju, Gyeonggi-do 12771 South Korea",17758783,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/59/73/e7/photo0jpg.jpg,37.36915,127.1687,Rustic House,4,+82 31-719-9291,24.0,4.0,3.03986263275146
"1337-74, Gyeongchung-daero, Chowol-eup, Gwangju, Gyeonggi-do 12735 South Korea",8874461,https://media-cdn.tripadvisor.com/media/photo-o/0e/30/9b/93/photo2jpg.jpg,37.392845,127.27954,Puddle House,6,+82 31-766-0757,27.0,3.5,3.03923416137695
"21, Changddeuluit-gil6beon-Gil, Gwangju, Gyeonggi-do South Korea",9357291,https://media-cdn.tripadvisor.com/media/photo-o/10/f9/8d/68/20171015-141022-largejpg.jpg,37.35102,127.172165,Opeun Aelri,2,+82 70-4106-7704,28.0,5.0,3.03786301612854
"260-1, Cheonbyeonjwa-Ro, Gwangju South Korea",9191065,https://media-cdn.tripadvisor.com/media/photo-o/0e/95/d0/88/caption.jpg,35.152813,126.904366,Yangdong Whole Chicken,8,+82 62-364-5410,32.0,4.5,3.08224940299988
"5, Songjeong-ro8beon-Gil, Gwangju South Korea",9199710,https://media-cdn.tripadvisor.com/media/photo-o/10/8d/0e/9a/photo1jpg.jpg,35.136784,126.79219,Yeongmyeong Gukbap,8,+82 62-942-2727,34.0,4.0,3.08124923706055
"15, Yeonyang-ro67beon-Gil, Gwangju South Korea",9338464,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/3e/89/30/caption.jpg,35.20817,126.874756,Pungcheon Freshwater Eel House,3,+82 62-571-9294,36.0,5.0,3.07948756217957
"143, Uncheon-Ro, Gwangju South Korea",8962148,https://media-cdn.tripadvisor.com/media/photo-o/13/c4/57/52/20180720-114545-largejpg.jpg,35.145092,126.85665,Hwangsol Village,6,+82 62-376-9233,39.0,4.5,3.07845401763916
"30, bongseon2-Ro, Gwangju South Korea",9240533,https://media-cdn.tripadvisor.com/media/photo-o/18/ae/23/32/caption.jpg,35.125397,126.90965,South Sea Garden,4,+82 62-671-8348,44.0,4.5,3.07557606697083
"20, Sangmunuri-Ro, Gwangju South Korea",9107961,https://media-cdn.tripadvisor.com/media/photo-o/0b/11/34/26/caption.jpg,35.144985,126.840546,Dde Siseu,6,,59.0,4.0,3.06214594841003
"45-9, Chungjang-Ro, Gwangju South Korea",9279680,https://media-cdn.tripadvisor.com/media/photo-o/0b/01/63/d2/caption.jpg,35.150486,126.91345,Sin Rakwon,6,+82 62-225-9408,60.0,4.0,3.0618052482605
"73 Yetjinmal-gil, Docheok-myeon, Gwangju, Gyeonggi-do South Korea",26130183,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/62/f6/9d/caption.jpg,37.34234,127.33184,Gujwa Real Knison Kalguksu Hwadam Forest Direct Store,1,+82 31-767-3224,67.0,4.0,3.02242088317871
"2, Mudeung-ro 321beon-gil, Dong-gu, Gwangju 61401 South Korea",4121779,https://media-cdn.tripadvisor.com/media/photo-o/06/bd/be/61/korean-full-course-meal.jpg,35.16209,126.91873,Arirang House,6,+82 62-525-2115,67.0,4.0,3.05708432197571
"90-1, Gwangju, Gyeonggi-do 12804 South Korea",14231670,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/73/28/7b/punggyeong-soli.jpg,37.347893,127.33835,Punggyeong Soli,1,+82 31-707-7793,68.0,5.0,3.02181887626648
"150-4, Jungang-Ro, Gwangju South Korea",9193939,https://media-cdn.tripadvisor.com/media/photo-o/13/08/26/7d/caption.jpg,35.147438,126.912674,Ye Hyang Restaurant,3,,74.0,4.5,3.05294919013977
"23, Jangsin-ro19beonan-Gil, Gwangju South Korea",8962121,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/59/e0/81/20191219-183151-largejpg.jpg,35.191437,126.81311,Hwangsol Village,3,+82 62-943-9233,76.0,4.5,3.05113863945007
"305, Saemal-Gil, Gwangju, Gyeonggi-do 12771 South Korea",9000443,https://media-cdn.tripadvisor.com/media/photo-o/0d/9a/3b/23/20160818-133838-largejpg.jpg,37.380363,127.1736,Hil House,1,,80.0,5.0,3.01770853996277
"124, Chipyeong-Ro, Gwangju South Korea",9183788,https://media-cdn.tripadvisor.com/media/photo-o/10/d2/8f/2d/photo3jpg.jpg,35.158577,126.84812,Wheat Al Mo Wheat,4,+82 62-376-2245,81.0,4.5,3.04793882369995
"803-3 Namhansanseong-ro, Namhansanseong-myeon, Gwangju, Gyeonggi-do 12700 South Korea",23120737,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/98/08/c6/inside.jpg,37.476334,127.18403,Myeongin Mandoo - Namhansansug Branch,1,,89.0,4.0,3.01640272140503
"280-1 Taejeon-dong 107, Gwangju, Gyeonggi-do 12781 South Korea",23104350,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/92/55/0f/pork-belly.jpg,37.39313,127.22801,Tteuspumgo,1,+82 31-766-8684,90.0,4.0,3.01633644104004
"5, Seoseok-ro 7beon-gil, Dong-gu, Gwangju 61484 South Korea",4120613,https://media-cdn.tripadvisor.com/media/photo-o/0b/b4/76/c8/20160620-121149-largejpg.jpg,35.145405,126.91457,Daegwang Sikdang,5,+82 62-226-3939,90.0,4.0,3.04599475860596
"904, Mujin-Daero, Gwangju South Korea",9443950,https://media-cdn.tripadvisor.com/media/photo-s/10/30/0a/e1/caption.jpg,35.160805,126.88129,Lotteria,5,+82 62-369-5900,94.0,4.0,3.04456543922424
"66, Sangmuyeonha-ro, Seo-gu, Gwangju 61949 South Korea",27415412,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/79/ef/c4/caption.jpg,35.15409,126.850334,Ddabong Siraegi,1,+82 507-1449-2278,95.0,5.0,3.04455041885376
"62, Sangmuyeonha-ro, Seo-gu, Gwangju 61949 South Korea",27415433,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/7a/10/0c/caption.jpg,35.153797,126.85035,Raon,1,+82 507-1389-5799,96.0,5.0,3.04453539848328
"738, Gyeongchung-Daero, Gwangju, Gyeonggi-do South Korea",9297215,https://media-cdn.tripadvisor.com/media/photo-o/19/9c/91/c6/caption.jpg,37.35478,127.328415,Rich House Mix Noodles,1,,101.0,4.0,3.01376485824585
"206, Pungseou-Ro, Gwangju South Korea",8993229,https://media-cdn.tripadvisor.com/media/photo-o/0e/95/d3/d4/caption.jpg,35.129032,126.841415,Happy Imgeumnim,5,,101.0,4.0,3.04353499412537
"94, Jungheung-Ro, Gwangju South Korea",9162717,https://media-cdn.tripadvisor.com/media/photo-o/11/18/f4/9a/20171027-092350-762-largejpg.jpg,35.163445,126.90443,Jinsik Dang,2,+82 62-515-3779,102.0,5.0,3.04326558113098
"154, Mokryeon-ro219beon-Gil, Gwangju South Korea",8971874,https://media-cdn.tripadvisor.com/media/photo-o/13/d6/4a/33/20180723-174235-largejpg.jpg,35.177505,126.824234,Ijo Tuna,2,+82 62-956-7253,109.0,5.0,3.04184627532959
"13, Suwan-ro52beon-Gil, Gwangju South Korea",9382125,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/03/4d/8f/20190329-191746-largejpg.jpg,35.190228,126.8295,Naeng Gal House,3,+82 62-959-9252,113.0,4.5,3.0412814617157
"60, Sangmuyeonha-Ro, Gwangju South Korea",9009891,https://media-cdn.tripadvisor.com/media/photo-o/13/4a/01/1d/c360-2018-06-15-11-37.jpg,35.153557,126.85052,Hongik Tradition Spicy Beef Soup,4,+82 62-376-3030,114.0,4.5,3.04109859466553
"44, Daessangryeong-Gil, Gwangju, Gyeonggi-do 12735 South Korea",9379327,https://media-cdn.tripadvisor.com/media/photo-o/10/e8/67/2b/caption.jpg,37.388824,127.286865,Myeongdong Noodles Soup,1,+82 31-766-1505,126.0,4.0,3.01048183441162
"699-3, Sinhyeon-ri, Opo-eup, Gwangju, Gyeonggi-do South Korea",5512654,https://media-cdn.tripadvisor.com/media/photo-o/0f/f1/c9/89/caption.jpg,37.360172,127.15495,Christmas Jamong,1,+82 70-8153-1225,128.0,4.0,3.01017117500305
"20-6, Daechon-gil6beon-Gil, Gwangju South Korea",9389648,https://media-cdn.tripadvisor.com/media/photo-o/0c/81/98/81/caption.jpg,35.236717,126.85428,Neoleu Sil,2,+82 62-972-8201,144.0,4.5,3.03538417816162
"151, Bongseon-Ro, Gwangju South Korea",9329316,https://media-cdn.tripadvisor.com/media/photo-o/0b/b4/71/27/20160619-175454-largejpg.jpg,35.123146,126.91166,Po Bei,4,,148.0,4.0,3.0342161655426
"759, Namhansanseong-Ro, Gwangju, Gyeonggi-do 12700 South Korea",9241774,https://media-cdn.tripadvisor.com/media/photo-o/0d/ac/cb/a1/ta-img-20161120-133450.jpg,37.476036,127.18373,Pajeon Okay,1,+82 31-744-7786,149.0,4.0,3.00929951667786
"4, Sangmujungang-ro28beon-Gil, Gwangju South Korea",9211415,https://media-cdn.tripadvisor.com/media/photo-o/16/f6/83/29/caption.jpg,35.14914,126.848915,The Bareun Shabu,2,+82 62-374-5559,150.0,4.5,3.03349232673645
Gwangju 61418 South Korea,14093953,https://media-cdn.tripadvisor.com/media/photo-m/1280/13/ac/40/76/photo0jpg.jpg,35.159546,126.8526,Sansu Ssampbap,2,+82 62-225-3600,159.0,4.5,3.03215742111206
"12-24 Seoseok-ro 7 beon-gil, Gwangju South Korea",21388410,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/53/21/85/photo1jpg.jpg,35.14694,126.87349,Glacier Hong Ice Cream,1,,178.0,5.0,3.02963542938232
"14 Jejungro 46 Beon-gil, Gwangju South Korea",21388388,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/4e/0b/ce/photo1jpg.jpg,35.13876,126.91529,Milldang Cafe,1,,179.0,5.0,3.02959442138672
"20, Guseong-ro 194beon-gil, Dong-gu, Gwangju South Korea",6352915,https://media-cdn.tripadvisor.com/media/photo-o/05/6b/4d/cb/hyanggyewon.jpg,35.15171,126.91534,Hyanggyewon,3,+82 62-233-9952,185.0,4.5,3.02930402755737
"213, Uncheon-Ro, Gwangju South Korea",9321091,https://media-cdn.tripadvisor.com/media/photo-o/1a/eb/98/ee/reudel-pakelreis.jpg,35.151165,126.85458,Peulro Reudel Mareu,3,,186.0,4.0,3.02907133102417
"300, Olympic-ro, Songpa-gu 6F, Lotte World Mall, Gwangju 05551 South Korea",10792233,https://media-cdn.tripadvisor.com/media/photo-o/10/e2/85/8b/photo1jpg.jpg,37.52135,127.10261,Natural Soul Kitchen Lotte World Mall,2,+82 2-3213-4630,193.0,4.5,3.02840685844421
"12, Cheonbyeonu-ro283beon-Gil, Gwangju South Korea",9112428,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/13/2a/5b/caption.jpg,35.15381,126.90562,Delicacies Jeong,1,,205.0,5.0,3.0271155834198
"55, Baekun-Ro, Gwangju South Korea",8885819,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/13/2e/8f/caption.jpg,35.138126,126.90633,Bull Al Tripes,1,,207.0,5.0,3.0271155834198
"4, Daenam-daero283beon-Gil, Gwangju South Korea",9426568,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/13/4a/79/caption.jpg,35.137573,126.89601,King Awesome Sam Suni Ne,1,,208.0,5.0,3.0271155834198
"14, Seoseok-ro7beon-Gil, Gwangju 61484 South Korea",8890159,https://media-cdn.tripadvisor.com/media/photo-o/1a/7a/32/e2/recommend-set-menu-for.jpg,35.14614,126.9142,BariE,1,+82 62-224-8241,213.0,5.0,3.0269181728363
"2, Bamsil-ro 167beon-gil, Buk-gu, Gwangju 61163 South Korea",19448823,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/c4/b3/cc/photo0jpg.jpg,35.162544,126.93458,Duamgol Pungcheo Jangeo,1,+82 62-251-2225,215.0,5.0,3.02681517601013
"38, bongseon2-Ro, Gwangju South Korea",9297815,https://media-cdn.tripadvisor.com/media/photo-o/0b/bb/ff/5b/20160625-002026-largejpg.jpg,35.125546,126.91058,Rieol Pub,2,,216.0,4.5,3.02659726142883
"77, Jangsin-ro, Gwangsan-gu 1F, Gwangju 62224 South Korea",14791069,https://media-cdn.tripadvisor.com/media/photo-o/13/a6/32/23/c360-2018-07-06-17-46.jpg,35.191174,126.81859,Tao Second Story,2,+82 62-951-2216,229.0,4.0,3.02549886703491
"31, Mokryeon-ro153beonan-Gil, Gwangju South Korea",9009033,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/10/77/31/20190823-002257-largejpg.jpg,35.173847,126.81378,Hongdan I Pancake Restaurant,1,+82 62-682-5360,230.0,5.0,3.02541208267212
"216, Jungang-Ro, Gwangju South Korea",9439860,https://media-cdn.tripadvisor.com/media/photo-w/17/ce/25/37/photo1jpg.jpg,35.151787,126.91765,Landscape Noodles,1,,252.0,5.0,3.02465009689331
"188-1 Geumnam-ro, Dong-gu 2F, Gwangju 61481 South Korea",26432048,https://media-cdn.tripadvisor.com/media/photo-o/2b/5f/d1/a0/caption.jpg,35.151173,126.913414,"Gwangju Restaurant, Sosin Restaurant",1,+82 50-71464-7716,254.0,4.0,3.02452039718628
"24-1, Geumnam-ro115beon-Gil, Gwangju South Korea",9405872,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/65/8c/3a/caption.jpg,35.15621,126.908646,Mercy Dumplings,1,,257.0,5.0,3.02437520027161
"8, Dongmun-daero97beon-Gil, Gwangju South Korea",9152607,https://media-cdn.tripadvisor.com/media/photo-m/1280/16/f1/7a/29/caption.jpg,35.17256,126.92412,Jara Bong Rice Soup,1,+82 62-268-3302,259.0,5.0,3.02404403686523
"1, Jisan-ro89beon-Gil, Gwangju South Korea",8881780,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/ff/cd/34/photo1jpg.jpg,35.151695,126.93303,Breeze Farm,1,,266.0,5.0,3.02338624000549
"12-9, Geumnam-ro132beon-Gil, Gwangju South Korea",8972355,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/af/8d/d0/photo0jpg.jpg,35.154327,126.907974,Il Songjeong,1,+82 62-525-9977,267.0,5.0,3.02317357063293
"12-3, Suwan-ro74beon-Gil, Gwangju South Korea",9264925,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/69/12/ce/20181116-180135-largejpg.jpg,35.191227,126.829765,Seo Dau Tuna,1,+82 62-959-5333,268.0,5.0,3.02297878265381
"19, Yurim-ro98beon-Gil, Gwangju South Korea",8997820,https://media-cdn.tripadvisor.com/media/photo-o/15/4f/59/a5/20180913-113847-largejpg.jpg,35.171207,126.86599,Hello U China,1,,269.0,5.0,3.02292227745056
"935, Mujin-Daero, Gwangju South Korea",9074077,https://media-cdn.tripadvisor.com/media/photo-o/10/18/e5/8e/cafe-droptop.jpg,35.16195,126.882744,Droptop,2,+82 62-447-2000,270.0,4.0,3.02291345596313
"18, Yangsanje -ro137beon-Gil, Gwangju South Korea",9271806,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/3a/5c/19/photo0jpg.jpg,35.204617,126.87063,Seorak Mountain,1,+82 62-574-0400,271.0,5.0,3.0228579044342
"58, gunbun2-Ro, Gwangju South Korea",8993820,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/07/37/eb/caption.jpg,35.158234,126.88118,Harang Mo Wheat,1,,274.0,5.0,3.02271342277527
"3, Seoljuk-ro217beon-Gil, Gwangju South Korea",9150955,https://media-cdn.tripadvisor.com/media/photo-o/14/a5/00/a2/20180914-194722-largejpg.jpg,35.17897,126.89723,Jangga Ne Fresh Cod Soup,1,,276.0,5.0,3.02246689796448
"2, Mudeung-ro 321beon-gil, Dong-gu, Gwangju 61401 South Korea",11434542,https://media-cdn.tripadvisor.com/media/photo-o/0d/17/27/9f/getlstd-property-photo.jpg,35.162018,126.9185,Cafe Bonheur,1,+82 62-525-2113,285.0,5.0,3.0217649936676
"17, Seoseok-ro 7beon-gil, Dong-gu, Gwangju 61484 South Korea",14167430,https://media-cdn.tripadvisor.com/media/photo-o/14/15/9b/20/beautiful-presentation.jpg,35.146362,126.913506,Bakehory,1,+82 62-233-1188,287.0,5.0,3.0217113494873
"35, Yonga-ro400beon-Gil, Gwangju South Korea",9197982,https://media-cdn.tripadvisor.com/media/photo-o/12/00/6d/36/c360-2018-02-08-17-39.jpg,35.17893,126.806885,Yeongam Korean Beef Meat Eating Restaurant,1,+82 62-956-8882,298.0,5.0,3.02080988883972
"8, Munhwajeondang-ro35beon-Gil, Gwangju South Korea",8939303,https://media-cdn.tripadvisor.com/media/photo-o/0f/df/f0/76/20170713-235652-largejpg.jpg,35.14563,126.9183,Amble,3,+82 62-222-0258,344.0,3.5,3.01911616325378
"321, Imbangul-Daero, Gwangju South Korea",9308426,https://media-cdn.tripadvisor.com/media/photo-o/0a/5f/78/99/photo1jpg.jpg,35.18885,126.822845,Saeng Eogeoseutin,2,+82 62-954-6232,348.0,4.0,3.01890015602112
"93, Geumhwa-ro149beon-Gil, Gwangju South Korea",9097754,https://media-cdn.tripadvisor.com/media/photo-o/0e/3b/a1/b7/caption.jpg,35.14051,126.86137,Daecheong Floor,1,+82 62-382-8123,363.0,5.0,3.01818227767944
"25-11, Sangmuhwawon-ro32beon-Gil, Gwangju South Korea",8928807,https://media-cdn.tripadvisor.com/media/photo-o/0c/b0/1c/cc/caption.jpg,35.146275,126.84545,Bong Sushi,1,+82 62-371-5544,379.0,5.0,3.01721572875977
"45, Jungang-Ro, Gwangju South Korea",8922133,https://media-cdn.tripadvisor.com/media/photo-o/0c/50/6a/13/photo0jpg.jpg,35.143967,126.9037,Black Bean Seu,1,,384.0,5.0,3.0170624256134
"40, Eodeung-daero459beon-Gil, Gwangju South Korea",9268305,https://media-cdn.tripadvisor.com/media/photo-o/0b/cd/fc/da/caption.jpg,35.15266,126.77346,Seonam Rice House,1,+82 62-942-1177,387.0,5.0,3.01688647270203
"3, Sinchang-ro162beon-Gil, Gwangju South Korea",8997304,https://media-cdn.tripadvisor.com/media/photo-o/0a/2f/9c/e9/20160130-174843-largejpg.jpg,35.198784,126.84137,Heaven Cow Mang,1,,415.0,5.0,3.0159797668457
"55, Sangmuyeonha-Ro, Gwangju South Korea",9112607,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/2d/4f/c2/caption.jpg,35.15326,126.84991,Delicious Food Hangover Cure Soup House,1,+82 62-383-5533,436.0,4.0,3.01401090621948
"17, Jebong-ro 82beon-gil, Dong-gu, Gwangju 61465 South Korea",19476661,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/1e/c1/65/20191120-122155-largejpg.jpg,35.1471,126.923134,Yeoldoji,1,+82 62-227-5888,437.0,4.0,3.01397466659546
"37, Jungheung-Ro, Gwangju South Korea",9106878,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/fb/93/4a/caption.jpg,35.165283,126.89876,Ddael Wood House,1,,444.0,4.0,3.01390266418457
"25, Nammunno753beon-Gil, Gwangju South Korea",9055134,https://media-cdn.tripadvisor.com/media/photo-w/19/eb/fa/54/2.jpg,35.13572,126.92273,Generous Restaurant,1,,445.0,4.0,3.01387190818787
"12, Yangrim-ro119beon-Gil, Gwangju South Korea",9060168,https://media-cdn.tripadvisor.com/media/photo-w/19/dc/26/58/caption.jpg,35.14098,126.92032,Geum River Stone Pot Rice,1,+82 62-226-1318,447.0,4.0,3.01384115219116
"11-2, Ssangchon-ro36beon-Gil, Gwangju South Korea",9437275,https://media-cdn.tripadvisor.com/media/photo-o/19/1c/5e/25/photo0jpg.jpg,35.148136,126.86633,Korean Beef Village Head Shop,1,+82 62-373-9886,452.0,4.0,3.01355814933777
"8, Naebang-ro252beon-Gil, Gwangju South Korea",9392522,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/17/24/67/20190814-120913-largejpg.jpg,35.15705,126.868,Noan3Dae Naju Beef-Bone Soup,1,,453.0,4.0,3.01355314254761
"12-2, Uchi-ro90beon-Gil, Gwangju South Korea",9260324,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/a0/91/d9/caption.jpg,35.175262,126.91337,Takara Kare,2,,461.0,3.5,3.01302289962769
"78, Bungmun-daero, Buk-gu, Gwangju 61100 South Korea",17395840,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/5a/c7/a5/photo0jpg.jpg,35.17763,126.87841,Starbucks - Gwangju Unam DT,1,+82 1522-3232,463.0,4.0,3.0129508972168
"7, Seoljuk-ro171beon-Gil, Gwangju South Korea",9258772,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/97/7e/57/caption.jpg,35.17498,126.89549,Taecheong Blowfish Restaurant,1,+82 62-528-3335,469.0,4.0,3.01225209236145
"81, Sangmuyeonha-Ro, Gwangju South Korea",9118391,https://media-cdn.tripadvisor.com/media/photo-o/12/49/1c/e9/c360-2018-03-08-12-01.jpg,35.155636,126.849884,Dog Hwa,1,,632.0,4.0,3.01109409332275
"13, Dongmun-daero204beon-Gil, Gwangju South Korea",9439865,https://media-cdn.tripadvisor.com/media/photo-o/11/f8/6e/3e/photo2jpg.jpg,35.180286,126.93097,Landscape Ok Mo Wheat,3,+82 62-251-3116,635.0,4.0,3.01090312004089
"6, Gyeongyeol-ro76beon-Gil, Gwangju South Korea",9294002,https://media-cdn.tripadvisor.com/media/photo-o/11/d0/a0/0e/photo0jpg.jpg,35.15097,126.89439,Ribs Eo Cheon Ga,1,+82 62-351-9282,636.0,4.0,3.01089429855347
"62, Sangmugongwon-Ro, Gwangju South Korea",9374204,https://media-cdn.tripadvisor.com/media/photo-o/11/4b/e2/3a/caption.jpg,35.14994,126.84332,Mu Restaurant Salotus,1,+82 62-383-0070,678.0,4.0,3.01063847541809
"28-1, Gyeongyeol-Ro, Gwangju South Korea",9330998,https://media-cdn.tripadvisor.com/media/photo-o/10/05/f2/fe/c360-2017-07-25-12-09.jpg,35.15136,126.88923,Pollack Hanmari,1,,693.0,4.0,3.01019763946533
"65, Saam-ro130beon-Gil, Gwangju South Korea",9371014,https://media-cdn.tripadvisor.com/media/photo-o/0f/c2/14/a8/caption.jpg,35.15599,126.81112,Mr. Lim's,1,,698.0,4.0,3.01011085510254
"29, Ye Sul-Gil, Gwangju South Korea",9013578,https://media-cdn.tripadvisor.com/media/photo-o/0e/d5/85/c1/photo0jpg.jpg,35.149555,126.91918,Gode Re 17,1,+82 62-236-4460,705.0,4.0,3.00976371765137
"31, Sangmuyeonha-Ro, Gwangju South Korea",9260871,https://media-cdn.tripadvisor.com/media/photo-o/0b/78/e2/6e/caption.jpg,35.151047,126.84994,Tano Simi,1,+82 62-714-1006,753.0,4.0,3.00872588157654
